measurement_date,upstream_water_level,downstream_water_level,inflow_rate,outflow_rate
'2015 Jun 28',146.10,67.53,19500.00,23800.00
'2015 Jun 29',145.81,67.95,22000.00,25000.00
'2015 Jun 30',145.46,68.16,33000.00,27600.00
'2015 Jul 01',145.77,68.58,36000.00,30500.00
'2015 Jul 02',146.56,68.62,27500.00,30000.00
'2015 Jul 03',146.14,68.60,25000.00,30300.00
'2015 Jul 04',146.27,68.19,24500.00,26900.00
'2015 Jul 05',146.37,67.77,23800.00,25200.00
'2015 Jul 06',146.55,67.97,27000.00,27300.00
'2015 Jul 07',145.54,68.10,21400.00,26900.00
'2015 Jul 08',145.28,67.65,20600.00,24900.00
'2015 Jul 09',145.22,67.36,18300.00,21700.00
'2015 Jul 10',145.32,66.46,17800.00,16400.00
'2015 Jul 11',145.56,65.31,16000.00,15800.00
'2015 Jul 12',145.43,65.31,16000.00,15800.00
'2015 Jul 13',145.06,67.19,13800.00,19600.00
'2015 Jul 14',145.18,65.39,14800.00,15100.00
'2015 Jul 15',146.09,65.47,23500.00,17900.00
'2015 Jul 16',145.10,65.70,23000.00,25000.00
'2015 Jul 17',145.28,67.34,22300.00,24100.00
'2015 Jul 18',145.28,67.65,20600.00,24900.00
'2015 Jul 19',145.73,67.27,18800.00,20800.00
'2015 Jul 20',145.71,67.53,18000.00,21600.00
'2015 Jul 21',145.53,67.30,17200.00,21900.00
'2015 Jul 22',145.20,66.98,19500.00,21300.00
'2015 Jul 23',145.34,67.18,21500.00,19000.00
'2015 Jul 24',145.12,67.24,21000.00,19000.00
'2015 Jul 25',146.72,66.32,18500.00,18400.00
'2015 Jul 26',146.86,66.66,16000.00,18400.00
'2015 Jul 27',146.19,67.00,14500.00,20200.00
'2015 Jul 28',146.24,65.18,14000.00,15300.00
'2015 Jul 29',146.06,65.38,14000.00,16200.00
'2015 Jul 30',145.94,65.66,14000.00,16500.00
'2015 Jul 31',146.06,65.38,14000.00,16200.00
'2015 Aug 01',145.50,65.87,13500.00,16000.00
'2015 Aug 02',145.19,65.65,12500.00,16000.00
'2015 Aug 03',145.23,65.19,11500.00,11700.00
'2015 Aug 04',145.31,65.18,11500.00,11700.00
'2015 Aug 05',145.40,65.11,12000.00,11700.00
'2015 Aug 06',145.42,65.17,14000.00,14700.00
'2015 Aug 07',145.33,66.09,14800.00,17100.00
'2015 Aug 08',145.33,65.95,13500.00,17000.00
'2015 Aug 09',145.15,65.71,14500.00,16900.00
'2015 Aug 10',145.27,65.87,15500.00,17100.00
'2015 Aug 11',145.44,65.69,16000.00,16800.00
'2015 Aug 12',145.63,64.92,16000.00,15300.00
'2015 Aug 13',145.83,65.32,16100.00,16600.00
'2015 Aug 14',145.88,65.66,15400.00,16700.00
'2015 Aug 15',145.72,64.92,13700.00,16500.00
'2015 Aug 16',145.72,64.59,14800.00,14700.00
'2015 Aug 17',145.71,64.91,19000.00,16600.00
'2015 Aug 18',146.19,65.23,28500.00,18600.00
'2015 Aug 19',148.74,65.01,29500.00,17700.00
'2015 Aug 20',150.65,65.96,28500.00,18400.00
'2015 Aug 21',151.99,65.42,24000.00,18400.00
'2015 Aug 22',152.78,65.04,20000.00,18300.00
'2015 Aug 23',152.96,64.95,16700.00,18200.00
'2015 Aug 24',152.81,65.05,15500.00,18500.00
'2015 Aug 25',152.42,64.89,15000.00,18600.00
'2015 Aug 26',151.95,65.11,17000.00,18500.00
'2015 Aug 27',152.04,65.24,19800.00,18400.00
'2015 Aug 28',152.26,65.20,18500.00,18400.00
'2015 Aug 29',152.35,65.21,19200.00,18800.00
'2015 Aug 30',152.60,65.27,19200.00,18800.00
'2015 Aug 31',,,,
'2015 Sep 01',152.65,64.98,16200.00,18700.00
'2015 Sep 02',152.42,65.36,16500.00,18500.00
'2015 Sep 03',152.54,65.24,19500.00,18500.00
'2015 Sep 04',152.93,64.94,19200.00,18300.00
'2015 Sep 05',152.54,64.24,19500.00,18500.00
'2015 Sep 06',152.42,65.36,16500.00,18500.00
'2015 Sep 07',154.75,65.10,26500.00,17900.00
'2015 Sep 08',155.86,65.45,26500.00,20400.00
'2015 Sep 09',155.96,67.44,24000.00,24600.00
'2015 Sep 10',155.89,67.76,24000.00,24800.00
'2015 Sep 11',156.13,67.86,32000.00,24700.00
'2015 Sep 12',157.39,67.81,36500.00,24700.00
'2015 Sep 13',158.47,67.63,31500.00,23600.00
'2015 Sep 14',159.70,67.73,25500.00,24200.00
'2015 Sep 15',160.29,67.32,21200.00,20700.00
'2015 Sep 16',160.27,67.31,20800.00,21600.00
'2015 Sep 17',160.30,67.29,20800.00,21500.00
'2015 Sep 18',160.58,67.11,24500.00,21400.00
'2015 Sep 19',161.17,67.14,27000.00,21200.00
'2015 Sep 20',162.03,67.22,26000.00,20800.00
'2015 Sep 21',162.66,66.96,26000.00,21100.00
'2015 Sep 22',163.27,67.04,25100.00,20100.00
'2015 Sep 23',163.57,67.19,22000.00,21200.00
'2015 Sep 24',163.88,67.12,24500.00,21100.00
'2015 Sep 25',164.28,67.04,24000.00,21000.00
'2015 Sep 26',165.06,65.16,20500.00,18100.00
'2015 Sep 27',165.57,65.03,21000.00,18000.00
'2015 Sep 28',165.95,65.13,21000.00,18100.00
'2015 Sep 29',166.23,64.86,20000.00,18800.00
'2015 Sep 30',166.37,65.21,18800.00,18800.00
'2015 Oct 01',166.86,66.82,21500.00,16900.00
'2015 Oct 02',167.77,65.65,26500.00,16500.00
'2015 Oct 03',168.72,65.55,21000.00,16500.00
'2015 Oct 04',169.20,65.51,19000.00,16400.00
'2015 Oct 05',169.57,65.01,18500.00,16500.00
'2015 Oct 06',169.90,65.95,17500.00,16600.00
'2015 Oct 07',170.16,65.11,16800.00,16500.00
'2015 Oct 08',170.27,65.49,16000.00,16500.00
'2015 Oct 09',170.42,65.68,16000.00,16500.00
'2015 Oct 10',170.56,65.80,17600.00,16500.00
'2015 Oct 11',170.96,65.45,17000.00,14300.00
'2015 Oct 12',171.38,65.47,20000.00,14300.00
'2015 Oct 13',172.02,65.26,18500.00,14200.00
'2015 Oct 14',172.57,65.06,17500.00,14100.00
'2015 Oct 15',172.86,64.39,15000.00,13000.00
'2015 Oct 16',172.89,64.51,13500.00,14000.00
'2015 Oct 17',172.87,64.63,13000.00,13900.00
'2015 Oct 18',172.87,65.59,14000.00,15000.00
'2015 Oct 19',172.94,65.68,13500.00,15000.00
'2015 Oct 20',173.31,64.78,13000.00,11300.00
'2015 Oct 21',173.56,64.65,13000.00,11300.00
'2015 Oct 22',173.77,65.40,12300.00,11300.00
'2015 Oct 23',173.98,64.92,12000.00,11300.00
'2015 Oct 24',174.06,65.19,11800.00,11300.00
'2015 Oct 25',174.22,65.23,11800.00,11300.00
'2015 Oct 26',174.43,65.43,13500.00,11300.00
'2015 Oct 27',174.72,65.82,13000.00,11800.00
'2015 Oct 28',174.82,65.58,13500.00,14700.00
'2015 Oct 29',174.97,66.66,14000.00,13700.00
'2015 Oct 30',174.83,64.83,13000.00,14700.00
'2015 Oct 31',174.70,64.97,12800.00,14700.00
'2015 Nov 01',174.62,64.87,12200.00,14400.00
'2015 Nov 02',174.44,64.58,12000.00,14400.00
'2015 Nov 03',174.37,64.77,12000.00,14400.00
'2015 Nov 04',174.30,64.76,11500.00,14400.00
'2015 Nov 05',174.04,64.74,10500.00,14500.00
'2015 Nov 06',173.93,65.19,9200.00,13100.00
'2015 Nov 07',174.01,64.65,9800.00,8810.00
'2015 Nov 08',174.24,65.25,9500.00,8830.00
'2015 Nov 09',174.41,65.21,9100.00,9340.00
'2015 Nov 10',174.41,65.23,9100.00,10300.00
'2015 Nov 11',174.32,64.55,8600.00,10800.00
'2015 Nov 12',174.31,64.91,8500.00,10800.00
'2015 Nov 13',174.29,65.06,8500.00,10800.00
'2015 Nov 14',174.21,64.25,8500.00,10100.00
'2015 Nov 15',174.21,65.04,8500.00,10100.00
'2015 Nov 16',174.12,64.90,8300.00,10800.00
'2015 Nov 17',174.04,60.04,8300.00,10800.00
'2015 Nov 18',174.00,65.21,8300.00,10100.00
'2015 Nov 19',173.94,65.03,7400.00,8050.00
'2015 Nov 20',173.97,65.03,7400.00,8050.00
'2015 Nov 21',174.00,64.98,6800.00,6690.00
'2015 Nov 22',173.99,64.91,6300.00,6690.00
'2015 Nov 23',173.89,65.36,6000.00,6720.00
'2015 Nov 24',173.92,65.51,6000.00,6730.00
'2015 Nov 25',173.97,65.78,5900.00,6740.00
'2015 Nov 26',173.92,65.98,6000.00,6750.00
'2015 Nov 27',173.95,66.12,6000.00,6760.00
'2015 Nov 28',173.93,66.05,6000.00,6760.00
'2015 Nov 29',173.98,66.10,6300.00,6750.00
'2015 Nov 30',174.00,66.02,6400.00,6750.00
'2015 Dec 01',174.08,66.00,6400.00,6760.00
'2015 Dec 02',174.09,65.94,6340.00,6740.00
'2015 Dec 03',174.08,66.07,6340.00,6750.00
'2015 Dec 04',174.11,66.05,6300.00,6750.00
'2015 Dec 05',174.10,66.05,6200.00,6770.00
'2015 Dec 06',174.10,66.00,6200.00,6750.00
'2015 Dec 07',174.18,65.93,6500.00,6740.00
'2015 Dec 08',174.21,65.80,6100.00,7000.00
'2015 Dec 09',174.24,65.94,6300.00,7010.00
'2015 Dec 10',174.22,66.08,6300.00,7010.00
'2015 Dec 11',174.22,66.07,6400.00,7020.00
'2015 Dec 12',174.33,65.98,6700.00,7000.00
'2015 Dec 13',174.44,65.88,6700.00,6980.00
'2015 Dec 14',174.41,65.95,6600.00,8460.00
'2015 Dec 15',174.35,66.82,6400.00,8450.00
'2015 Dec 16',174.25,65.87,6400.00,8460.00
'2015 Dec 17',174.31,65.98,6900.00,7770.00
'2015 Dec 18',174.38,66.04,7000.00,7770.00
'2015 Dec 19',174.45,65.87,7000.00,7760.00
'2015 Dec 20',174.46,65.80,7000.00,7750.00
'2015 Dec 21',174.46,65.84,6800.00,7740.00
'2015 Dec 22',174.47,65.93,6800.00,7750.00
'2015 Dec 23',174.41,65.98,6600.00,7750.00
'2015 Dec 24',174.38,65.86,6500.00,7750.00
'2015 Dec 25',174.24,65.75,6400.00,7750.00
'2015 Dec 26',174.21,65.39,6200.00,7730.00
'2015 Dec 27',174.03,65.36,6200.00,7040.00
'2015 Dec 28',174.93,65.53,6300.00,7060.00
'2015 Dec 29',173.93,66.04,6000.00,7080.00
'2015 Dec 30',173.93,66.07,5900.00,7090.00
'2015 Dec 31',173.95,65.92,6100.00,7080.00
'2016 Jan 01',174.03,65.77,6200.00,7060.00
'2016 Jan 02',173.99,65.78,6000.00,7070.00
'2016 Jan 03',173.95,65.89,6000.00,7070.00
'2016 Jan 04',173.84,65.69,5900.00,7770.00
'2016 Jan 05',173.71,65.77,5800.00,7790.00
'2016 Jan 06',173.63,65.81,6100.00,7780.00
'2016 Jan 07',173.59,65.31,6100.00,7780.00
'2016 Jan 08',173.50,65.15,6100.00,7770.00
'2016 Jan 09',173.43,65.11,6200.00,7770.00
'2016 Jan 10',173.36,65.06,6500.00,7770.00
'2016 Jan 11',173.30,65.10,6400.00,7790.00
'2016 Jan 12',173.25,65.24,6600.00,7790.00
'2016 Jan 13',173.25,65.22,6500.00,7780.00
'2016 Jan 14',173.23,65.15,6500.00,7780.00
'2016 Jan 15',173.17,64.69,6700.00,7760.00
'2016 Jan 16',173.23,64.85,6700.00,7770.00
'2016 Jan 17',173.22,64.64,6600.00,7760.00
'2016 Jan 18',173.09,64.68,6200.00,7760.00
'2016 Jan 19',172.96,64.20,6000.00,7750.00
'2016 Jan 20',172.87,63.57,5800.00,7300.00
'2016 Jan 21',172.46,63.60,5800.00,7310.00
'2016 Jan 22',172.46,63.62,6000.00,8450.00
'2016 Jan 23',172.32,64.38,6000.00,8510.00
'2016 Jan 24',172.08,64.41,6200.00,8530.00
'2016 Jan 25',171.86,64.79,6800.00,9990.00
'2016 Jan 26',171.71,64.69,6800.00,10000.00
'2016 Jan 27',171.56,64.53,6800.00,10000.00
'2016 Jan 28',171.46,64.17,6700.00,9990.00
'2016 Jan 29',171.22,64.21,6500.00,10000.00
'2016 Jan 30',170.97,64.27,6300.00,10000.00
'2016 Jan 31',170.82,64.31,6300.00,10100.00
'2016 Feb 01',170.81,65.27,6300.00,7970.00
'2016 Feb 02',170.77,65.44,6800.00,7980.00
'2016 Feb 03',170.76,64.87,6800.00,7930.00
'2016 Feb 04',170.78,65.42,6500.00,7760.00
'2016 Feb 05',170.79,65.55,6800.00,7970.00
'2016 Feb 06',170.82,65.80,6800.00,7980.00
'2016 Feb 07',170.89,65.52,6800.00,7240.00
'2016 Feb 08',170.82,65.78,6400.00,7270.00
'2016 Feb 09',170.75,65.77,6000.00,7270.00
'2016 Feb 10',170.60,65.60,5500.00,7270.00
'2016 Feb 11',170.47,65.51,5300.00,7260.00
'2016 Feb 12',170.40,65.54,5300.00,7270.00
'2016 Feb 13',170.25,65.51,5300.00,7230.00
'2016 Feb 14',170.15,65.31,5300.00,7280.00
'2016 Feb 15',170.04,65.42,5200.00,8010.00
'2016 Feb 16',169.90,65.45,5400.00,8020.00
'2016 Feb 17',169.72,65.11,5500.00,8010.00
'2016 Feb 18',169.58,65.39,5700.00,8040.00
'2016 Feb 19',169.42,65.14,5700.00,8070.00
'2016 Feb 20',169.31,65.33,5600.00,8070.00
'2016 Feb 21',169.12,65.41,5600.00,8080.00
'2016 Feb 22',169.07,65.35,5700.00,8080.00
'2016 Feb 23',168.87,65.50,6200.00,8110.00
'2016 Feb 24',168.76,65.44,6400.00,8110.00
'2016 Feb 25',168.70,65.80,6300.00,8070.00
'2016 Feb 26',168.62,65.18,6500.00,8100.00
'2016 Feb 27',168.55,65.31,6700.00,8110.00
'2016 Feb 28',168.49,65.15,6700.00,8110.00
'2016 Feb 29',168.32,65.46,6600.00,8140.00
'2016 Mar 01',168.22,65.48,6400.00,8170.00
'2016 Mar 02',168.13,64.08,6300.00,8130.00
'2016 Mar 03',168.02,64.83,6200.00,8130.00
'2016 Mar 04',167.87,64.37,5900.00,8100.00
'2016 Mar 05',167.67,64.45,6000.00,8120.00
'2016 Mar 06',167.48,64.54,5900.00,8140.00
'2016 Mar 07',167.28,65.03,5800.00,8190.00
'2016 Mar 08',167.11,65.51,6000.00,8240.00
'2016 Mar 09',167.05,65.36,6000.00,8240.00
'2016 Mar 10',167.10,65.10,7000.00,8210.00
'2016 Mar 11',167.20,65.10,7020.00,8210.00
'2016 Mar 12',167.30,65.09,8000.00,8200.00
'2016 Mar 13',167.41,65.28,8800.00,8200.00
'2016 Mar 14',167.44,65.26,8500.00,8200.00
'2016 Mar 15',167.44,64.99,8300.00,8180.00
'2016 Mar 16',167.37,65.20,7800.00,8240.00
'2016 Mar 17',167.28,65.31,7000.00,8180.00
'2016 Mar 18',167.18,65.31,7000.00,8150.00
'2016 Mar 19',166.99,64.74,6800.00,8160.00
'2016 Mar 20',166.84,64.76,6800.00,8170.00
'2016 Mar 21',166.64,64.62,6500.00,8220.00
'2016 Mar 22',166.46,64.66,6500.00,8240.00
'2016 Mar 23',166.37,64.64,7200.00,8240.00
'2016 Mar 24',166.37,64.46,8000.00,8240.00
'2016 Mar 25',166.41,64.45,9200.00,8240.00
'2016 Mar 26',166.58,64.46,9700.00,8220.00
'2016 Mar 27',166.73,64.90,9000.00,8240.00
'2016 Mar 28',166.82,64.81,8800.00,8230.00
'2016 Mar 29',166.83,65.02,8700.00,8260.00
'2016 Mar 30',166.53,65.02,8700.00,8260.00
'2016 Mar 31',166.94,64.63,8200.00,8220.00
'2016 Apr 01',166.95,64.25,8100.00,8180.00
'2016 Apr 02',166.87,64.10,7500.00,8170.00
'2016 Apr 03',166.81,64.35,8200.00,8750.00
'2016 Apr 04',166.77,64.43,7800.00,8760.00
'2016 Apr 05',166.66,64.89,8300.00,10000.00
'2016 Apr 06',166.58,64.72,8200.00,10300.00
'2016 Apr 07',166.54,64.31,9000.00,10500.00
'2016 Apr 08',166.40,64.45,9000.00,10500.00
'2016 Apr 09',166.28,64.57,8600.00,10500.00
'2016 Apr 10',166.23,64.52,9000.00,10500.00
'2016 Apr 11',166.04,64.62,9000.00,11300.00
'2016 Apr 12',165.74,64.29,9500.00,10700.00
'2016 Apr 13',165.45,64.18,9200.00,12200.00
'2016 Apr 14',164.97,64.37,9300.00,12300.00
'2016 Apr 15',164.69,64.32,9800.00,12300.00
'2016 Apr 16',164.48,64.38,10700.00,13100.00
'2016 Apr 17',164.49,64.52,13500.00,13100.00
'2016 Apr 18',164.48,64.35,13300.00,13100.00
'2016 Apr 19',164.40,64.22,12800.00,13600.00
'2016 Apr 20',163.95,64.26,10800.00,13400.00
'2016 Apr 21',164.17,64.31,11400.00,13400.00
'2016 Apr 22',163.95,64.26,10800.00,13400.00
'2016 Apr 23',163.63,64.56,11500.00,15000.00
'2016 Apr 24',163.35,65.35,12000.00,16700.00
'2016 Apr 25',162.91,66.16,11000.00,16900.00
'2016 Apr 26',162.32,65.55,10800.00,16900.00
'2016 Apr 27',161.78,65.31,10800.00,17000.00
'2016 Apr 28',161.20,65.16,11000.00,17000.00
'2016 Apr 29',160.83,64.82,10500.00,15000.00
'2016 Apr 30',159.93,66.69,10200.00,16900.00
'2016 May 01',159.56,65.27,10000.00,16200.00
'2016 May 02',159.01,65.43,10000.00,17500.00
'2016 May 03',158.44,65.17,10000.00,17600.00
'2016 May 04',157.94,64.90,9800.00,16400.00
'2016 May 05',157.35,65.66,10000.00,17000.00
'2016 May 06',156.98,64.93,10200.00,15300.00
'2016 May 07',156.36,65.49,14000.00,17100.00
'2016 May 08',156.52,64.70,16000.00,17000.00
'2016 May 09',156.69,64.93,19000.00,17000.00
'2016 May 10',156.91,66.16,17500.00,19400.00
'2016 May 11',156.62,66.34,14500.00,19500.00
'2016 May 12',156.01,66.59,14000.00,19700.00
'2016 May 13',155.63,66.37,14200.00,19900.00
'2016 May 14',154.82,66.61,15000.00,20100.00
'2016 May 15',154.17,67.31,16000.00,22300.00
'2016 May 16',153.56,67.12,13000.00,20900.00
'2016 May 17',153.40,67.14,13000.00,18100.00
'2016 May 18',152.97,66.37,13000.00,18600.00
'2016 May 19',152.53,66.79,13500.00,18400.00
'2016 May 20',152.49,66.77,14500.00,18600.00
'2016 May 21',151.83,65.47,13500.00,17700.00
'2016 May 22',151.20,65.22,13500.00,19900.00
'2016 May 23',151.42,67.13,12800.00,18800.00
'2016 May 24',150.93,65.03,13000.00,18400.00
'2016 May 25',150.27,66.69,14000.00,20300.00
'2016 May 26',149.55,66.85,15200.00,19900.00
'2016 May 27',149.17,66.87,14800.00,21600.00
'2016 May 28',149.12,65.85,14300.00,19100.00
'2016 May 29',148.86,65.73,14000.00,19100.00
'2016 May 30',148.71,65.84,12800.00,18600.00
'2016 May 31',147.75,65.32,12500.00,19500.00
'2016 Jun 01',147.24,66.96,16000.00,21200.00
'2016 Jun 02',147.17,67.64,25000.00,24200.00
'2016 Jun 03',147.80,66.94,21000.00,22500.00
'2016 Jun 04',146.35,68.11,17000.00,27000.00
'2016 Jun 05',146.08,66.36,16000.00,18200.00
'2016 Jun 06',145.38,67.10,15000.00,22900.00
'2016 Jun 07',145.07,65.65,15500.00,19800.00
'2016 Jun 08',146.35,65.06,17500.00,17500.00
'2016 Jun 09',145.58,65.94,20300.00,19600.00
'2016 Jun 10',145.98,66.47,18000.00,20000.00
'2016 Jun 11',145.20,66.47,16000.00,20900.00
'2016 Jun 12',145.33,64.93,15500.00,16800.00
'2016 Jun 13',145.61,64.93,15500.00,16700.00
'2016 Jun 14',145.82,65.12,15000.00,17500.00
'2016 Jun 15',145.47,67.15,15500.00,19100.00
'2016 Jun 16',145.31,65.91,15800.00,14700.00
'2016 Jun 17',145.08,65.33,19800.00,19400.00
'2016 Jun 18',145.67,65.64,18200.00,18500.00
'2016 Jun 19',145.97,65.07,17500.00,18200.00
'2016 Jun 20',145.36,66.93,24500.00,23700.00
'2016 Jun 21',145.33,67.42,25000.00,26400.00
'2016 Jun 22',145.53,67.66,20000.00,23700.00
'2016 Jun 23',145.29,67.75,17500.00,23900.00
'2016 Jun 24',146.38,66.06,33000.00,21000.00
'2016 Jun 25',146.41,68.05,33000.00,26900.00
'2016 Jun 26',146.47,68.00,33000.00,31100.00
'2016 Jun 27',146.52,68.36,25000.00,30800.00
'2016 Jun 28',145.89,68.69,32000.00,31000.00
'2016 Jun 29',146.09,68.61,30000.00,31500.00
'2016 Jun 30',146.43,67.50,38000.00,30000.00
'2016 Jul 01',148.73,68.59,48500.00,31700.00
'2016 Jul 02',150.51,67.27,38000.00,30100.00
'2016 Jul 03',151.53,67.04,30000.00,29000.00
'2016 Jul 04',151.31,67.59,23000.00,29500.00
'2016 Jul 05',150.24,67.50,20800.00,28700.00
'2016 Jul 06',149.38,68.08,19500.00,25600.00
'2016 Jul 07',149.17,67.34,23000.00,20100.00
'2016 Jul 08',149.82,67.10,26000.00,21200.00
'2016 Jul 09',150.78,67.11,22500.00,21200.00
'2016 Jul 10',150.22,67.15,20200.00,20900.00
'2016 Jul 11',150.35,67.23,21000.00,21200.00
'2016 Jul 12',150.50,67.29,21000.00,21400.00
'2016 Jul 13',150.54,67.41,21300.00,22200.00
'2016 Jul 14',151.93,67.23,23000.00,20400.00
'2016 Jul 15',153.13,67.64,30000.00,21100.00
'2016 Jul 16',154.18,67.56,32000.00,24000.00
'2016 Jul 17',154.67,68.16,27800.00,26300.00
'2016 Jul 18',154.92,68.21,25000.00,26100.00
'2016 Jul 19',155.44,67.91,30000.00,24000.00
'2016 Jul 20',156.85,67.88,39000.00,23600.00
'2016 Jul 21',158.39,68.05,30000.00,29600.00
'2016 Jul 22',158.39,68.28,24500.00,26700.00
'2016 Jul 23',157.87,68.45,22500.00,27900.00
'2016 Jul 24',157.07,68.44,22000.00,28300.00
'2016 Jul 25',156.33,68.47,24800.00,28600.00
'2016 Jul 26',155.78,68.53,24500.00,29000.00
'2016 Jul 27',155.17,68.64,25500.00,29100.00
'2016 Jul 28',154.70,68.59,28800.00,29600.00
'2016 Jul 29',154.47,68.61,27800.00,29700.00
'2016 Jul 30',153.96,68.66,25400.00,30000.00
'2016 Jul 31',153.26,68.80,24500.00,30400.00
'2016 Aug 01',152.30,68.66,24000.00,30700.00
'2016 Aug 02',151.28,68.68,23800.00,30900.00
'2016 Aug 03',150.47,68.49,26000.00,30500.00
'2016 Aug 04',149.76,68.57,24300.00,30100.00
'2016 Aug 05',149.06,68.73,27000.00,30100.00
'2016 Aug 06',148.68,68.51,27200.00,29400.00
'2016 Aug 07',148.41,68.34,27000.00,28700.00
'2016 Aug 08',148.08,68.14,23200.00,28000.00
'2016 Aug 09',147.50,68.35,21000.00,27600.00
'2016 Aug 10',146.36,68.66,22500.00,30000.00
'2016 Aug 11',146.79,67.55,21500.00,23300.00
'2016 Aug 12',146.66,68.03,21500.00,25000.00
'2016 Aug 13',146.52,67.80,19000.00,24800.00
'2016 Aug 14',146.06,66.95,18000.00,24700.00
'2016 Aug 15',145.29,67.37,17300.00,25300.00
'2016 Aug 16',145.53,66.47,17200.00,19400.00
'2016 Aug 17',145.55,67.13,17000.00,20300.00
'2016 Aug 18',145.57,67.24,17000.00,20300.00
'2016 Aug 19',145.56,67.20,16500.00,20000.00
'2016 Aug 20',145.50,65.55,14800.00,17300.00
'2016 Aug 21',145.51,65.88,14500.00,17400.00
'2016 Aug 22',145.36,65.89,14500.00,18300.00
'2016 Aug 23',145.39,66.02,14000.00,17000.00
'2016 Aug 24',145.52,66.10,13800.00,16100.00
'2016 Aug 25',145.61,65.86,13800.00,16000.00
'2016 Aug 26',145.87,65.82,14200.00,15100.00
'2016 Aug 27',146.25,65.45,14500.00,14900.00
'2016 Aug 28',146.52,65.47,13800.00,14900.00
'2016 Aug 29',146.61,65.09,12800.00,14700.00
'2016 Aug 30',146.98,65.27,12500.00,12900.00
'2016 Aug 31',147.19,64.75,12500.00,12900.00
'2016 Sep 01',147.04,65.62,11000.00,14000.00
'2016 Sep 02',146.87,65.77,11800.00,14000.00
'2016 Sep 03',146.83,65.51,11200.00,13500.00
'2016 Sep 04',146.70,65.87,10600.00,13600.00
'2016 Sep 05',146.45,65.82,10000.00,13700.00
'2016 Sep 06',145.03,66.01,10000.00,13900.00
'2016 Sep 07',145.65,65.82,11000.00,14000.00
'2016 Sep 08',145.56,65.72,13500.00,13900.00
'2016 Sep 09',145.72,66.00,13800.00,13900.00
'2016 Sep 10',146.47,65.44,16800.00,11500.00
'2016 Sep 11',147.65,65.33,16500.00,11300.00
'2016 Sep 12',148.57,65.54,14000.00,11500.00
'2016 Sep 13',149.20,65.20,13000.00,11900.00
'2016 Sep 14',149.67,64.93,12600.00,11300.00
'2016 Sep 15',150.06,65.24,12600.00,10300.00
'2016 Sep 16',150.29,65.09,11800.00,10200.00
'2016 Sep 17',150.41,65.30,11000.00,11000.00
'2016 Sep 18',150.51,65.62,11000.00,11700.00
'2016 Sep 19',150.58,65.84,11400.00,12200.00
'2016 Sep 20',150.81,65.86,12800.00,11800.00
'2016 Sep 21',151.54,65.48,18500.00,11600.00
'2016 Sep 22',152.95,65.78,23600.00,12100.00
'2016 Sep 23',154.28,65.61,22200.00,11900.00
'2016 Sep 24',156.28,65.71,20600.00,12100.00
'2016 Sep 25',157.58,66.05,21800.00,12200.00
'2016 Sep 26',158.97,65.93,21000.00,12300.00
'2016 Sep 27',160.16,65.68,18000.00,12200.00
'2016 Sep 28',160.92,66.74,14300.00,12500.00
'2016 Sep 29',161.69,66.12,14500.00,12000.00
'2016 Sep 30',161.59,65.92,13800.00,12000.00
'2016 Oct 01',162.37,65.99,16300.00,12100.00
'2016 Oct 02',163.07,65.79,15000.00,12100.00
'2016 Oct 03',163.58,65.77,14000.00,12000.00
'2016 Oct 04',164.00,65.84,13000.00,12000.00
'2016 Oct 05',164.34,66.02,12800.00,11900.00
'2016 Oct 06',164.62,66.06,12500.00,11900.00
'2016 Oct 07',165.01,66.02,12300.00,11900.00
'2016 Oct 08',165.25,66.12,11500.00,11900.00
'2016 Oct 09',165.57,65.64,12000.00,10200.00
'2016 Oct 10',165.57,65.64,12000.00,10200.00
'2016 Oct 11',166.44,65.83,12900.00,8900.00
'2016 Oct 12',166.93,65.95,12500.00,8880.00
'2016 Oct 13',167.44,65.38,12800.00,8780.00
'2016 Oct 14',167.85,65.76,12800.00,9070.00
'2016 Oct 15',168.36,65.58,13500.00,9010.00
'2016 Oct 16',168.94,65.62,14200.00,8980.00
'2016 Oct 17',169.48,65.66,13500.00,9120.00
'2016 Oct 18',169.93,65.40,13500.00,10400.00
'2016 Oct 19',169.93,65.40,13500.00,10400.00
'2016 Oct 20',170.64,65.47,13400.00,10500.00
'2016 Oct 21',171.15,65.83,13300.00,11200.00
'2016 Oct 22',171.40,65.63,12500.00,11800.00
'2016 Oct 23',171.58,65.64,12300.00,11700.00
'2016 Oct 24',171.78,65.25,12000.00,11800.00
'2016 Oct 25',171.40,66.63,12500.00,11800.00
'2016 Oct 26',172.29,65.41,16300.00,13100.00
'2016 Oct 27',172.73,65.38,16500.00,13300.00
'2016 Oct 28',172.90,65.18,15000.00,13100.00
'2016 Oct 29',173.54,65.82,14300.00,10200.00
'2016 Oct 30',174.06,65.20,14300.00,8730.00
'2016 Oct 31',174.71,65.28,14800.00,8690.00
'2016 Nov 01',174.95,64.48,14000.00,13900.00
'2016 Nov 02',174.87,64.33,12500.00,14000.00
'2016 Nov 03',174.52,65.58,10000.00,14200.00
'2016 Nov 04',174.37,65.48,9500.00,12600.00
'2016 Nov 05',174.37,65.73,10500.00,11400.00
'2016 Nov 06',174.33,65.79,9500.00,11400.00
'2016 Nov 07',174.28,65.17,11200.00,12000.00
'2016 Nov 08',174.25,65.05,12500.00,13700.00
'2016 Nov 09',174.61,64.93,14800.00,13700.00
